name,CO10,error,FWHM,ref,CO21,error,FWHM,ref,CO32,error,FWHM,ref,CO43,error,CO54,error,CO65,error,CO76,error,CO87,error,CO98,error,CO109,error,CO1110,error,CO1211,error,CO1312,error,CI10,error,CI21,error,APEX CI10,error,13CO10,error,beam,ref,13CO21,error,beam,ref,13CO32,error,beam,ref
NGC2623,114,22.8,43.5,4,267,56.6,43.5,11,614,130,43.5,11,1126.6694033611,119.294407414704,1044.55133281576,53.0229102952165,936.797672752984,22.0942847347402,844.70732198593,18.9396260534962,894.981104789342,26.5179586604249,657.125697166904,26.5207680470947,602.096712832327,21.219267412593,412.383297609065,19.2927858530556,316.166355213871,17.687628263713,253.10968051284,16.32965680728,528,75,729,15,1079.97462124088,88.509823879288,3.8,1.1,nan, Sliwa et al. 2017,17,5,nan, Sliwa et al. 2017,nan,nan,nan,nan
NGC5104,128,32.1,43.5,1,579,92.3,43.5,5,655,106,43.5,5,nan,nan,800.724554989877,100.75342082654,578.927095060163,39.7736172178738,322.005255131496,26.5180798343585,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,585,26,708.776076308896,182.543233257752,9.1,2.2,22,Rubén 2014 tesis,nan,nan,nan,nan,nan,nan,nan,nan
CIRCINUS,2984.4187750402,299.603448211515,nan,2013.1.00247.S,11500,1164.55927732769,nan,2018.1.01321.S,13466.3134471506,1368.95323729265,20.8,this work,28034.2302460216,385.237253913076,26876.3501594568,186.278181340023,19099.628284043,78.0082021632134,14150.4883659633,58.2507158282324,9620.61621005885,81.4957976233473,5350.94382521611,99.7017573245614,3972.99480109859,95.16354169994,2757.33266080367,98.923165031036,1617.7161121601,72.5717340024849,2191.79370188838,85.6325626971365,10494.4324582139,232.137130256501,15015.0793149891,62.7942837661539,4591.75363890864,223.35798215564,nan,nan,nan,nan,nan,nan,nan,nan,740,154,18,Zhang et al.2014
NGC4945,9886.6,28.4,,,18878.5,12.3,,,46445.9208408276,6966.88812612414,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,,,,,,,,,,,,
NGC1068,2250,327,,10,11400,1140,,13,16900,2960,,23,16708.0469385947,1156.10801725225,12123.5306212551,548.694273806808,9624.53560265202,230.814654724234,7514.89190416373,149.327211210407,6599.01383908489,235.212374462432,4266.21708863297,124.879057053245,3346.0154046341,96.7207577902046,2726.12610843539,85.5628072394718,2152.85176413763,76.2649916445517,1108.45032938132,78.4565568890591,10010.148739014,617.985955159182,11002.2974466528,163.713590684046,,,,,,,,,,,,,,
NGC7552,897,91.3,,15,3750,378,,12,4276.79450385473,599.68844671033,,,8066.16237693656,353.262585851236,6348.63950118368,157.014991785251,5648.53748724889,61.0652701324204,4243.78684151893,41.1292116799191,3141.07018120723,68.7109102139082,1803.39799266388,78.5350738740726,1110.1011697028,62.8359152661963,806.976633488173,59.5115511421956,331.725996870845,43.648157483006,nan,nan,3192.81453486211,177.719043207296,3965.08427704546,40.9924126386279,,,,,,,,,,,,,,
NGC4418,165.4,16,,,253.3,3,,,848.164527075447,40.4737283238153,,,nan,nan,nan,nan,1603.82363213077,65.5513746102495,1483.46458756859,48.6995950464436,1593.18780508594,75.3977767839029,1681.51212345812,75.7700436913538,1272.22152593507,62.9552920050345,1571.70477752926,54.8546432218105,1215.7240516271,48.1041890931589,1164.77887537667,50.4670223300119,1547.25112308907,251.735301772428,474.175174679252,52.2712790985002,,,,,,,,,,,,,,
NGC1365,2165.9,102.4,,,3075,205,,,5203.46196276285,557.731220561808,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,,,,,,,,,,,,
NGC3256,1100,135,,12,10100,1040,,12,5254.73324336177,726.068128139225,,,10896.0843124744,334.961000564312,9242.84969778331,136.619722650577,8591.82524957706,56.9285057311426,6024.94272007927,45.046300710873,4641.6111432289,65.6986715248253,2680.78977849032,52.5645054605946,1813.70219958585,47.3139704239789,1111.30789478791,43.0183701208225,747.154616486432,32.8660388483768,550.215048793389,50.5712361023335,4103.7603187013,178.424361682665,5043.37048034219,44.8964731187732,,,,,,,,,,,,,,
NGC1808,1897.6,137.2,,,4469,41,,,3048.07874863263,72.8282877284048,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,,,,,,,,,,,,
