Title: L'_CO_/L_FIR_ Relations with CO Rotational Ladders of Galaxies 
       Across the Herschel SPIRE Archive 
Authors: Kamenetzky J., Rangwala N., Glenn J., Maloney P.R., Conley A. 
Table: Line Fluxes and Uncertainty Ranges from SPIRE FTS
================================================================================
Byte-by-byte Description of file: apjaa22eat2_mrt.txt
--------------------------------------------------------------------------------
   Bytes Format Units     Label  Explanations
--------------------------------------------------------------------------------
   1- 16 A16    ---       ID     Galaxy identifier
  18- 24 A7     ---       Line   Line identifier
  26- 26 A1     ---     f_Line   [X] Line is resolved? 
  28- 35 E8.2   Jy.km/s   Flux   Median line flux in Line
  37- 44 E8.2   Jy.km/s b_Flux   Lower 1{sigma} boundary for Flux
  46- 53 E8.2   Jy.km/s B_Flux   Upper 1{sigma} boundary for Flux
  55- 62 E8.2   Jy.km/s   UpLim  ? The 3{sigma} upper limit on the Line flux (1)
--------------------------------------------------------------------------------
Note (1): If blank the line is considered at least a 3{sigma} detection.
--------------------------------------------------------------------------------
NGC253           CO11-10   2.19e+04 1.97e+04 2.37e+04          
NGC253           CO12-11   1.59e+04 1.47e+04 1.72e+04          
NGC253           CO13-12   8.92e+03 6.42e+03 1.17e+04 1.77e+04 
NGC253           NII       3.61e+04 3.38e+04 3.80e+04          
I Zw 1           CI1-0     2.33e+02 8.00e+01 5.09e+02 7.14e+02 
I Zw 1           CI2-1     9.42e+01 5.37e+01 1.35e+02 2.05e+02 
I Zw 1           CO6-5     7.31e+01 2.34e+01 1.34e+02 2.26e+02 
I Zw 1           CO7-6     5.68e+01 1.80e+01 9.84e+01 1.66e+02 
I Zw 1           CO8-7     8.70e+01 3.21e+01 1.27e+02 1.98e+02 
I Zw 1           CO9-8     2.10e+02 1.39e+02 2.78e+02          
I Zw 1           CO10-9    4.13e+01 9.60e+00 8.82e+01 1.55e+02 
I Zw 1           CO11-10   5.05e+01 1.89e+01 9.81e+01 1.56e+02 
I Zw 1           CO12-11   1.68e+01 2.21e+00 4.19e+01 1.04e+02 
I Zw 1           CO13-12   2.98e+01 8.46e+00 6.21e+01 1.28e+02 
I Zw 1           NII       2.27e+02 1.89e+02 2.67e+02          
MCG+12-02-001    CI1-0     4.38e+02 3.05e+02 5.60e+02          
MCG+12-02-001    CI2-1     6.31e+02 5.99e+02 6.69e+02          
MCG+12-02-001    CO4-3     1.22e+03 1.08e+03 1.35e+03          
MCG+12-02-001    CO5-4     1.21e+03 1.14e+03 1.28e+03          
MCG+12-02-001    CO6-5     9.47e+02 9.14e+02 9.79e+02          
MCG+12-02-001    CO7-6     6.53e+02 6.18e+02 6.92e+02          
MCG+12-02-001    CO8-7     5.16e+02 4.49e+02 5.74e+02          
MCG+12-02-001    CO9-8     4.62e+02 4.00e+02 5.18e+02          
MCG+12-02-001    CO10-9    2.68e+02 2.15e+02 3.24e+02          
MCG+12-02-001    CO11-10   2.93e+02 2.36e+02 3.45e+02          
MCG+12-02-001    CO12-11   8.26e+01 3.77e+01 1.24e+02 1.93e+02 
MCG+12-02-001    CO13-12   9.36e+01 3.07e+01 1.67e+02 2.57e+02 
MCG+12-02-001    NII       1.79e+03 1.74e+03 1.85e+03          
NGC0317B         CI1-0     1.58e+02 5.96e+01 2.61e+02 4.33e+02 
NGC0317B         CI2-1     4.27e+02 3.84e+02 4.68e+02          
NGC0317B         CO4-3     1.56e+02 4.40e+01 2.48e+02 4.09e+02 
NGC0317B         CO5-4     4.17e+02 3.48e+02 5.12e+02          
NGC0317B         CO6-5     3.58e+02 3.08e+02 4.08e+02          
NGC0317B         CO7-6     3.76e+02 3.32e+02 4.21e+02          
NGC0317B         CO8-7     1.94e+02 1.36e+02 2.50e+02          
NGC0317B         CO9-8     3.30e+02 2.44e+02 4.14e+02          
NGC0317B         CO10-9    1.21e+02 5.53e+01 1.95e+02 3.05e+02 
NGC0317B         CO11-10   2.65e+02 1.98e+02 3.30e+02          
NGC0317B         CO13-12   5.62e+01 1.93e+01 1.02e+02 1.83e+02 
NGC0317B         NII       6.41e+02 5.81e+02 7.01e+02          
IRAS 01003-2238  CI2-1     6.77e+01 3.07e+01 9.72e+01 1.50e+02 
IRAS 01003-2238  CO6-5     7.80e+01 2.35e+01 1.55e+02 2.28e+02 
IRAS 01003-2238  CO7-6     4.63e+01 2.09e+01 7.50e+01 1.25e+02 
IRAS 01003-2238  CO8-7     4.00e+01 9.76e+00 7.57e+01 1.07e+02 
IRAS 01003-2238  CO10-9    1.30e+02 7.59e+01 1.77e+02          
IRAS 01003-2238  CO11-10   8.30e+01 4.76e+01 1.14e+02 1.66e+02 
IRAS 01003-2238  CO12-11   4.91e+01 1.53e+01 9.86e+01 1.41e+02 
IRAS 01003-2238  CO13-12   3.63e+01 1.12e+01 6.53e+01 9.89e+01 
3C 31            CI1-0     5.62e+01 1.12e+01 1.19e+02 2.30e+02 
3C 31            CI2-1     3.22e+01 1.31e+01 4.70e+01 7.39e+01 
3C 31            CO4-3     1.45e+02 4.21e+01 2.37e+02 4.31e+02 
3C 31            CO6-5     2.66e+01 7.48e+00 5.22e+01 8.83e+01 
3C 31            CO7-6     3.76e+01 2.18e+01 5.23e+01          
3C 31            CO10-9    6.95e+01 3.73e+01 1.03e+02          
3C 31            CO12-11   5.04e+01 2.21e+01 7.51e+01 1.21e+02 
3C 31            NII       8.28e+01 5.64e+01 1.10e+02          
IC1623           CI1-0     1.77e+03 1.41e+03 2.10e+03          
IC1623           CI2-1     1.38e+03 1.33e+03 1.43e+03          
IC1623           CO5-4     3.36e+03 3.25e+03 3.52e+03          
IC1623           CO6-5     1.89e+03 1.82e+03 1.98e+03          
IC1623           CO7-6     1.21e+03 1.16e+03 1.26e+03          
IC1623           CO8-7     8.15e+02 7.53e+02 8.81e+02          
IC1623           CO9-8     5.55e+02 4.63e+02 6.44e+02          
IC1623           CO10-9    3.12e+02 2.49e+02 3.94e+02          
IC1623           CO11-10   1.51e+02 7.39e+01 2.27e+02 3.67e+02 
IC1623           CO12-11   1.96e+02 1.43e+02 2.69e+02          
IC1623           CO13-12   2.58e+02 1.61e+02 3.38e+02          
IC1623           NII     X 2.99e+03 2.87e+03 3.11e+03          
MCG-03-04-014    CI1-0     4.03e+02 2.03e+02 5.85e+02 1.01e+03 
MCG-03-04-014    CI2-1     3.76e+02 3.08e+02 4.14e+02          
MCG-03-04-014    CO5-4     5.30e+02 3.89e+02 6.95e+02          
MCG-03-04-014    CO6-5     5.14e+02 4.52e+02 5.73e+02          
MCG-03-04-014    CO7-6     3.94e+02 3.36e+02 4.47e+02          
MCG-03-04-014    CO8-7     1.65e+02 8.15e+01 2.43e+02          
MCG-03-04-014    CO9-8     8.96e+01 2.22e+01 1.44e+02 2.52e+02 
MCG-03-04-014    CO10-9    6.92e+01 2.82e+01 1.23e+02 1.94e+02 
MCG-03-04-014    CO11-10   5.13e+01 1.78e+01 9.51e+01 1.38e+02 
MCG-03-04-014    CO12-11   8.17e+01 3.67e+01 1.32e+02 2.10e+02 
MCG-03-04-014    CO13-12   7.89e+01 3.09e+01 1.27e+02 1.83e+02 
MCG-03-04-014    NII     X 1.85e+03 1.79e+03 1.91e+03          
ESO244-G012      CI2-1     4.34e+02 3.60e+02 5.19e+02          
ESO244-G012      CO5-4     4.73e+02 2.28e+02 6.61e+02 9.46e+02 
ESO244-G012      CO6-5     8.92e+02 7.74e+02 1.01e+03          
ESO244-G012      CO7-6     3.85e+02 3.14e+02 4.63e+02          
ESO244-G012      CO8-7     3.36e+02 2.45e+02 4.34e+02          
ESO244-G012      CO9-8     1.75e+02 7.66e+01 3.22e+02 4.83e+02 
ESO244-G012      CO10-9    1.90e+02 9.47e+01 2.76e+02 3.93e+02 
ESO244-G012      CO11-10   1.50e+02 5.64e+01 2.31e+02 3.51e+02 
ESO244-G012      CO12-11   1.08e+02 3.43e+01 1.80e+02 3.09e+02 
ESO244-G012      CO13-12   1.11e+02 3.58e+01 1.90e+02 3.12e+02 
ESO244-G012      NII       6.04e+02 5.27e+02 6.74e+02          
CGCG436-030      CI1-0     3.85e+02 1.49e+02 6.19e+02 9.62e+02 
CGCG436-030      CI2-1     3.44e+02 2.93e+02 4.01e+02          
CGCG436-030      CO5-4     6.14e+02 4.75e+02 7.89e+02          
CGCG436-030      CO6-5     5.30e+02 4.58e+02 6.05e+02          
CGCG436-030      CO7-6     4.33e+02 3.79e+02 4.97e+02          
CGCG436-030      CO8-7     4.50e+02 3.78e+02 5.23e+02          
CGCG436-030      CO9-8     1.94e+02 1.24e+02 2.76e+02          
CGCG436-030      CO10-9    1.52e+02 8.27e+01 1.95e+02          
CGCG436-030      CO11-10   2.21e+02 1.64e+02 2.79e+02          
CGCG436-030      CO12-11   4.70e+01 1.37e+01 8.95e+01 1.58e+02 
CGCG436-030      CO13-12   5.57e+01 1.72e+01 1.04e+02 1.73e+02 
CGCG436-030      NII       3.84e+02 3.44e+02 4.29e+02          
ESO353-G020      CI1-0     3.19e+02 1.15e+02 5.97e+02 9.64e+02 
ESO353-G020      CI2-1     8.30e+02 7.78e+02 8.88e+02          
ESO353-G020      CO4-3     5.75e+02 3.47e+02 8.43e+02          
ESO353-G020      CO5-4     1.07e+03 9.32e+02 1.23e+03          
ESO353-G020      CO6-5     7.44e+02 6.68e+02 8.12e+02          
ESO353-G020      CO7-6     5.60e+02 4.83e+02 6.19e+02          
ESO353-G020      CO8-7     1.92e+02 1.23e+02 2.77e+02          
ESO353-G020      CO9-8     6.39e+01 1.24e+01 1.39e+02 2.79e+02 
ESO353-G020      CO10-9    9.45e+01 3.54e+01 1.82e+02 2.70e+02 
ESO353-G020      CO11-10   1.28e+02 5.45e+01 2.03e+02 3.31e+02 
ESO353-G020      CO12-11   1.06e+02 4.38e+01 1.91e+02 2.77e+02 
ESO353-G020      NII     X 3.37e+03 3.28e+03 3.46e+03          
IRASF01417+1651  CI1-0     1.66e+02 7.23e+01 2.57e+02 3.85e+02 
IRASF01417+1651  CI2-1     1.63e+02 1.27e+02 1.90e+02          
IRASF01417+1651  CO5-4     1.21e+02 5.45e+01 2.09e+02 3.36e+02 
IRASF01417+1651  CO6-5     2.42e+02 1.95e+02 2.86e+02          
IRASF01417+1651  CO7-6     3.05e+02 2.69e+02 3.39e+02          
IRASF01417+1651  CO8-7     3.68e+02 3.22e+02 4.16e+02          
IRASF01417+1651  CO9-8     3.52e+02 2.55e+02 4.45e+02          
IRASF01417+1651  CO10-9    4.23e+02 3.60e+02 4.93e+02          
IRASF01417+1651  CO11-10   1.50e+02 8.86e+01 2.03e+02 3.09e+02 
IRASF01417+1651  CO12-11   1.58e+02 9.95e+01 2.18e+02          
IRASF01417+1651  CO13-12   8.08e+01 3.49e+01 1.24e+02 2.31e+02 
IRASF01417+1651  NII       9.04e+01 3.84e+01 1.40e+02 2.20e+02 
NGC0695          CI1-0     5.78e+02 2.13e+02 8.95e+02 1.44e+03 
NGC0695          CI2-1     4.71e+02 4.25e+02 5.26e+02          
NGC0695          CO5-4     1.08e+03 8.93e+02 1.30e+03          
NGC0695          CO6-5     4.67e+02 3.72e+02 5.63e+02          
NGC0695          CO7-6     3.74e+02 3.23e+02 4.34e+02          
NGC0695          CO8-7     2.31e+02 1.65e+02 2.91e+02          
NGC0695          CO9-8     1.10e+02 4.25e+01 2.08e+02 3.77e+02 
NGC0695          CO10-9    4.02e+01 6.11e+00 9.21e+01 1.47e+02 
NGC0695          CO11-10   3.74e+01 5.97e+00 8.98e+01 1.50e+02 
NGC0695          CO13-12   5.37e+01 1.41e+01 1.04e+02 1.69e+02 
NGC0695          NII       2.38e+03 2.31e+03 2.45e+03          
Mrk 1014         CI2-1     9.64e+01 4.90e+01 1.46e+02 2.35e+02 
Mrk 1014         CO5-4     3.19e+02 1.50e+02 4.69e+02 6.29e+02 
Mrk 1014         CO6-5     1.43e+02 4.49e+01 2.48e+02 3.50e+02 
