Title: L'_CO_/L_FIR_ Relations with CO Rotational Ladders of Galaxies 
       Across the Herschel SPIRE Archive 
Authors: Kamenetzky J., Rangwala N., Glenn J., Maloney P.R., Conley A. 
Table: Line Fluxes and Uncertainty Ranges from SPIRE FTS
================================================================================
Byte-by-byte Description of file: apjaa22eat2_mrt.txt
--------------------------------------------------------------------------------
   Bytes Format Units     Label  Explanations
--------------------------------------------------------------------------------
   1- 16 A16    ---       ID     Galaxy identifier
  18- 24 A7     ---       Line   Line identifier
  26- 26 A1     ---     f_Line   [X] Line is resolved? 
  28- 35 E8.2   Jy.km/s   Flux   Median line flux in Line
  37- 44 E8.2   Jy.km/s b_Flux   Lower 1{sigma} boundary for Flux
  46- 53 E8.2   Jy.km/s B_Flux   Upper 1{sigma} boundary for Flux
  55- 62 E8.2   Jy.km/s   UpLim  ? The 3{sigma} upper limit on the Line flux (1)
--------------------------------------------------------------------------------
Note (1): If blank the line is considered at least a 3{sigma} detection.
--------------------------------------------------------------------------------
NGC2146-NW       CO9-8     2.29e+03 1.97e+03 2.56e+03          
NGC2146-NW       CO10-9    9.79e+02 7.87e+02 1.19e+03          
NGC2146-NW       CO11-10   7.03e+02 4.99e+02 9.18e+02          
NGC2146-NW       CO12-11   6.36e+02 4.52e+02 8.12e+02          
NGC2146-NW       NII       1.94e+04 1.90e+04 1.98e+04          
NGC2146-nuc      CI1-0     2.63e+03 2.30e+03 2.93e+03          
NGC2146-nuc      CI2-1     4.59e+03 4.49e+03 4.68e+03          
NGC2146-nuc      CO4-3     7.70e+03 7.30e+03 8.08e+03          
NGC2146-nuc      CO5-4     8.32e+03 8.13e+03 8.53e+03          
NGC2146-nuc      CO6-5     7.53e+03 7.40e+03 7.65e+03          
NGC2146-nuc      CO7-6     5.39e+03 5.28e+03 5.49e+03          
NGC2146-nuc      CO8-7     4.36e+03 4.15e+03 4.54e+03          
NGC2146-nuc      CO9-8     2.90e+03 2.67e+03 3.13e+03          
NGC2146-nuc      CO10-9    1.81e+03 1.64e+03 2.00e+03          
NGC2146-nuc      CO11-10   1.25e+03 1.05e+03 1.46e+03          
NGC2146-nuc      CO12-11   5.21e+02 3.23e+02 7.17e+02 9.60e+02 
NGC2146-nuc      CO13-12   5.65e+02 2.20e+02 9.65e+02 1.51e+03 
NGC2146-nuc      NII       2.66e+04 2.62e+04 2.70e+04          
NGC2146-SE       CI1-0     2.82e+03 2.51e+03 3.15e+03          
NGC2146-SE       CI2-1     3.87e+03 3.77e+03 3.98e+03          
NGC2146-SE       CO4-3     7.45e+03 7.05e+03 7.84e+03          
NGC2146-SE       CO5-4     6.96e+03 6.73e+03 7.21e+03          
NGC2146-SE       CO6-5     6.61e+03 6.46e+03 6.76e+03          
NGC2146-SE       CO7-6     4.67e+03 4.55e+03 4.79e+03          
NGC2146-SE       CO8-7     3.82e+03 3.56e+03 4.02e+03          
NGC2146-SE       CO9-8     2.24e+03 1.94e+03 2.53e+03          
NGC2146-SE       CO10-9    1.26e+03 1.03e+03 1.46e+03          
NGC2146-SE       CO11-10   1.00e+03 7.47e+02 1.25e+03          
NGC2146-SE       CO12-11   4.03e+02 1.61e+02 6.37e+02 1.01e+03 
NGC2146-SE       CO13-12   6.64e+02 2.28e+02 1.25e+03 1.97e+03 
NGC2146-SE       NII       2.17e+04 2.12e+04 2.21e+04          
IRAS 06206-6315  CI2-1     1.41e+02 9.86e+01 1.90e+02          
IRAS 06206-6315  CO5-4     1.68e+02 4.56e+01 2.81e+02 3.96e+02 
IRAS 06206-6315  CO6-5     1.77e+02 9.73e+01 2.69e+02 3.66e+02 
IRAS 06206-6315  CO7-6     1.76e+02 1.30e+02 2.21e+02          
IRAS 06206-6315  CO8-7     1.44e+02 1.04e+02 1.81e+02          
IRAS 06206-6315  CO10-9    8.28e+01 4.30e+01 1.18e+02 1.77e+02 
IRAS 06206-6315  CO11-10   7.89e+01 4.17e+01 1.16e+02 1.71e+02 
IRAS 06206-6315  CO12-11   2.91e+01 6.53e+00 5.40e+01 8.82e+01 
IRAS 06206-6315  NII       8.01e+01 4.84e+01 1.09e+02          
ESO255-IG007     CI1-0     3.35e+02 1.20e+02 6.32e+02 1.02e+03 
ESO255-IG007     CI2-1     3.70e+02 3.17e+02 4.23e+02          
ESO255-IG007     CO5-4     5.09e+02 3.04e+02 6.68e+02 8.94e+02 
ESO255-IG007     CO6-5     4.66e+02 3.74e+02 5.52e+02          
ESO255-IG007     CO7-6     3.20e+02 2.62e+02 3.78e+02          
ESO255-IG007     CO8-7     3.05e+02 2.34e+02 3.66e+02          
ESO255-IG007     CO9-8     2.87e+02 2.21e+02 3.53e+02          
ESO255-IG007     CO10-9    2.15e+02 1.61e+02 2.58e+02          
ESO255-IG007     CO12-11   3.98e+01 6.98e+00 7.85e+01 1.46e+02 
ESO255-IG007     CO13-12   6.99e+01 2.85e+01 1.17e+02 1.83e+02 
ESO255-IG007     NII       6.12e+02 5.61e+02 6.59e+02          
UGC03608         CI1-0     2.87e+02 9.94e+01 4.74e+02 7.76e+02 
UGC03608         CI2-1     4.50e+02 3.92e+02 5.03e+02          
UGC03608         CO5-4     8.62e+02 6.98e+02 9.90e+02          
UGC03608         CO6-5     4.94e+02 4.35e+02 5.58e+02          
UGC03608         CO7-6     3.82e+02 3.29e+02 4.40e+02          
UGC03608         CO8-7     2.98e+02 2.32e+02 3.67e+02          
UGC03608         CO9-8     1.96e+02 6.14e+01 3.10e+02 5.09e+02 
UGC03608         CO10-9    1.68e+02 7.12e+01 2.65e+02 4.08e+02 
UGC03608         CO11-10   8.56e+01 1.52e+01 1.89e+02 2.83e+02 
UGC03608         CO12-11   9.23e+01 3.28e+01 1.56e+02 2.69e+02 
UGC03608         CO13-12   2.89e+01 1.95e+00 9.61e+01 2.17e+02 
UGC03608         NII       1.15e+03 1.07e+03 1.25e+03          
NGC2342b         CI1-0     1.90e+02 4.01e+01 3.65e+02 8.68e+02 
NGC2342b         CI2-1     3.39e+02 2.85e+02 3.97e+02          
NGC2342b         CO4-3     4.68e+02 1.61e+02 8.59e+02 1.70e+03 
NGC2342b         CO5-4     3.80e+02 1.36e+02 5.65e+02 8.50e+02 
NGC2342b         CO6-5     2.93e+02 1.80e+02 3.99e+02          
NGC2342b         CO7-6     2.61e+02 2.07e+02 3.21e+02          
NGC2342b         CO8-7     2.76e+02 1.80e+02 3.45e+02          
NGC2342b         CO10-9    9.43e+01 2.33e+01 1.67e+02 3.05e+02 
NGC2342b         CO12-11   1.62e+02 8.93e+01 2.31e+02 3.39e+02 
NGC2342b         CO13-12   7.26e+01 1.54e+01 1.38e+02 2.50e+02 
NGC2342b         NII       1.67e+03 1.57e+03 1.76e+03          
NGC2342a         CI1-0     5.61e+02 2.80e+02 8.09e+02 1.25e+03 
NGC2342a         CI2-1     3.78e+02 3.20e+02 4.36e+02          
NGC2342a         CO4-3     1.05e+03 7.47e+02 1.33e+03          
NGC2342a         CO6-5     4.77e+02 3.75e+02 5.79e+02          
NGC2342a         CO7-6     2.40e+02 1.76e+02 2.97e+02          
NGC2342a         CO8-7     1.58e+02 5.80e+01 2.51e+02 4.42e+02 
NGC2342a         CO9-8     6.16e+01 6.81e+00 1.80e+02 4.24e+02 
NGC2342a         CO10-9    1.83e+02 3.86e+01 3.21e+02 5.10e+02 
NGC2342a         CO13-12   2.06e+02 6.64e+01 3.58e+02 5.78e+02 
NGC2342a         NII       1.42e+03 1.26e+03 1.58e+03          
NGC2369          CI1-0     1.38e+03 8.72e+02 1.79e+03          
NGC2369          CI2-1     1.42e+03 1.34e+03 1.55e+03          
NGC2369          CO4-3     1.37e+03 7.16e+02 1.82e+03 2.63e+03 
NGC2369          CO5-4     2.28e+03 2.00e+03 2.53e+03          
NGC2369          CO6-5     1.85e+03 1.72e+03 1.99e+03          
NGC2369          CO7-6     1.19e+03 1.08e+03 1.32e+03          
NGC2369          CO8-7     9.50e+02 8.21e+02 1.08e+03          
NGC2369          CO9-8     6.70e+02 5.20e+02 8.56e+02          
NGC2369          CO10-9    4.16e+02 2.76e+02 5.63e+02          
NGC2369          CO11-10   2.60e+02 1.37e+02 4.02e+02 6.29e+02 
NGC2369          CO12-11   2.86e+02 1.93e+02 4.18e+02          
NGC2369          CO13-12   1.16e+02 2.73e+01 2.43e+02 3.62e+02 
NGC2369          NII     X 5.84e+03 5.68e+03 6.01e+03          
NGC2388a         CI1-0     3.16e+02 1.26e+02 7.04e+02 1.16e+03 
NGC2388a         CI2-1     6.91e+02 6.11e+02 7.56e+02          
NGC2388a         CO4-3     7.79e+02 4.04e+02 1.25e+03 1.92e+03 
NGC2388a         CO5-4     7.35e+02 5.15e+02 9.68e+02          
NGC2388a         CO6-5     1.01e+03 9.06e+02 1.14e+03          
NGC2388a         CO7-6     6.93e+02 6.11e+02 7.64e+02          
NGC2388a         CO8-7     5.75e+02 4.64e+02 7.05e+02          
NGC2388a         CO9-8     3.23e+02 2.17e+02 4.76e+02          
NGC2388a         CO10-9    1.25e+02 2.57e+01 2.13e+02 3.25e+02 
NGC2388a         CO11-10   9.32e+01 1.57e+01 1.77e+02 3.55e+02 
NGC2388a         CO12-11   5.23e+01 9.36e+00 1.33e+02 2.21e+02 
NGC2388a         CO13-12   2.27e+02 1.19e+02 3.31e+02 4.81e+02 
NGC2388a         NII       2.14e+03 2.04e+03 2.23e+03          
MCG+02-20-003    CI1-0     3.11e+02 1.11e+02 6.12e+02 1.02e+03 
MCG+02-20-003    CI2-1     3.25e+02 2.60e+02 4.03e+02          
MCG+02-20-003    CO4-3     3.49e+02 1.13e+02 7.48e+02 1.46e+03 
MCG+02-20-003    CO5-4     5.92e+02 3.58e+02 7.92e+02          
MCG+02-20-003    CO6-5     5.36e+02 4.32e+02 6.27e+02          
MCG+02-20-003    CO7-6     2.61e+02 2.07e+02 3.35e+02          
MCG+02-20-003    CO8-7     2.20e+02 1.26e+02 3.02e+02 4.25e+02 
MCG+02-20-003    CO9-8     2.43e+02 1.40e+02 3.44e+02          
MCG+02-20-003    CO10-9    7.98e+01 3.11e+01 1.38e+02 2.57e+02 
MCG+02-20-003    CO11-10   2.37e+02 1.50e+02 3.06e+02          
MCG+02-20-003    CO12-11   9.77e+01 3.83e+01 1.62e+02 2.51e+02 
MCG+02-20-003    CO13-12   6.67e+01 1.70e+01 1.21e+02 1.94e+02 
MCG+02-20-003    NII       7.35e+02 6.74e+02 8.00e+02          
IRAS 07598+6508  CI2-1     3.87e+01 1.37e+01 6.97e+01 1.30e+02 
IRAS 07598+6508  CO5-4     1.10e+02 3.00e+01 2.52e+02 4.18e+02 
IRAS 07598+6508  CO6-5     1.32e+02 4.94e+01 2.25e+02 3.40e+02 
IRAS 07598+6508  CO7-6     4.27e+01 1.61e+01 8.39e+01 1.45e+02 
IRAS 07598+6508  CO8-7     2.86e+01 8.63e+00 5.46e+01 8.98e+01 
IRAS 07598+6508  CO10-9    7.16e+01 2.05e+01 1.27e+02 1.99e+02 
IRAS 07598+6508  CO11-10   6.31e+01 2.07e+01 1.09e+02 1.58e+02 
IRAS 07598+6508  CO12-11   6.84e+01 3.32e+01 1.11e+02 1.61e+02 
IRAS 07598+6508  CO13-12   4.26e+01 8.78e+00 7.84e+01 1.41e+02 
IRAS 07598+6508  NII       5.84e+01 2.16e+01 9.51e+01 1.48e+02 
B2 0827+24       CO8-7     7.90e+01 1.97e+01 1.57e+02 3.53e+02 
IRAS 08311-2459  CI2-1     1.86e+02 1.44e+02 2.37e+02          
IRAS 08311-2459  CO5-4     5.64e+02 3.39e+02 7.49e+02          
IRAS 08311-2459  CO6-5     5.73e+02 4.83e+02 6.67e+02          
IRAS 08311-2459  CO7-6     3.64e+02 3.19e+02 4.13e+02          
IRAS 08311-2459  CO8-7     3.03e+02 2.48e+02 3.55e+02          
IRAS 08311-2459  CO10-9    1.85e+02 1.45e+02 2.33e+02          
IRAS 08311-2459  CO11-10   1.37e+02 8.92e+01 1.76e+02          
IRAS 08311-2459  CO12-11   1.66e+02 1.17e+02 2.05e+02          
IRAS 08311-2459  CO13-12   3.55e+01 1.04e+01 6.69e+01 1.25e+02 
IRAS 08311-2459  NII       2.08e+02 1.68e+02 2.44e+02          
He2-10           CI1-0     2.30e+02 8.34e+01 4.06e+02 5.61e+02 
He2-10           CI2-1     3.08e+02 2.52e+02 3.53e+02          
He2-10           CO4-3     3.64e+02 1.97e+02 5.51e+02          
He2-10           CO5-4     5.46e+02 4.44e+02 6.74e+02          
He2-10           CO6-5     5.98e+02 5.48e+02 6.63e+02          
He2-10           CO7-6     4.57e+02 4.02e+02 5.02e+02          
He2-10           CO8-7     3.54e+02 2.88e+02 4.22e+02          
He2-10           CO9-8     3.99e+02 3.06e+02 4.98e+02          
He2-10           CO10-9    2.61e+02 1.65e+02 3.54e+02 4.84e+02 
He2-10           CO11-10   1.44e+02 6.78e+01 2.37e+02 3.38e+02 
He2-10           CO13-12   2.39e+02 1.03e+02 3.70e+02          
He2-10           NII       2.14e+03 2.03e+03 2.24e+03          
IRAS08355-4944   CI1-0     8.26e+01 1.75e+01 1.64e+02 2.85e+02 
IRAS08355-4944   CI2-1     9.19e+01 6.48e+01 1.18e+02          
IRAS08355-4944   CO5-4     4.15e+01 5.06e+00 9.68e+01 1.65e+02 
IRAS08355-4944   CO6-5     9.41e+01 5.26e+01 1.25e+02 1.71e+02 
IRAS08355-4944   CO7-6     1.70e+02 1.47e+02 1.94e+02          
IRAS08355-4944   CO8-7     1.90e+02 1.49e+02 2.34e+02          
IRAS08355-4944   CO9-8     1.61e+02 9.72e+01 2.39e+02 3.71e+02 
IRAS08355-4944   CO10-9    3.11e+02 2.58e+02 3.65e+02          
IRAS08355-4944   CO11-10   1.26e+02 6.89e+01 1.93e+02 2.77e+02 
IRAS08355-4944   CO12-11   1.34e+02 8.59e+01 1.89e+02          
IRAS08355-4944   CO13-12   3.57e+02 2.94e+02 4.04e+02          
IRAS08355-4944   NII       5.01e+02 4.44e+02 5.49e+02          
NGC2623          CI1-0     5.36e+02 3.24e+02 7.37e+02          
NGC2623          CI2-1     7.48e+02 7.04e+02 7.86e+02          
NGC2623          CO5-4     1.03e+03 9.13e+02 1.13e+03          
NGC2623          CO6-5     9.58e+02 9.09e+02 1.01e+03          
NGC2623          CO7-6     8.76e+02 8.31e+02 9.18e+02          
NGC2623          CO8-7     8.80e+02 8.32e+02 9.42e+02          
NGC2623          CO9-8     6.93e+02 6.37e+02 7.50e+02          
NGC2623          CO10-9    6.77e+02 6.21e+02 7.35e+02          
NGC2623          CO11-10   4.53e+02 4.06e+02 4.97e+02          
NGC2623          CO12-11   3.23e+02 2.88e+02 3.53e+02          
NGC2623          CO13-12   2.70e+02 2.24e+02 3.09e+02          
NGC2623          NII       4.35e+02 3.94e+02 4.80e+02          
IRAS 08572+3915  CI1-0     4.06e+02 1.72e+02 6.66e+02 1.14e+03 
IRAS 08572+3915  CI2-1     4.74e+01 1.38e+01 8.81e+01 1.79e+02 
IRAS 08572+3915  CO5-4     1.71e+02 4.95e+01 3.04e+02 5.25e+02 
IRAS 08572+3915  CO6-5     1.52e+02 7.49e+01 2.22e+02 3.55e+02 
IRAS 08572+3915  CO8-7     1.02e+02 4.80e+01 1.62e+02 2.32e+02 
IRAS 08572+3915  CO9-8     8.43e+01 2.58e+01 1.73e+02 3.41e+02 
IRAS 08572+3915  CO10-9    1.24e+02 5.93e+01 1.85e+02          
IRAS 08572+3915  CO11-10   1.34e+02 8.22e+01 1.99e+02          
IRAS 08572+3915  CO12-11   6.11e+01 1.78e+01 1.29e+02 1.98e+02 
IRAS 08572+3915  CO13-12   4.11e+01 8.80e+00 7.24e+01 1.23e+02 
IRAS09022-3615   CI1-0     6.31e+02 3.70e+02 8.48e+02 1.14e+03 
IRAS09022-3615   CI2-1     3.76e+02 3.41e+02 4.07e+02          
IRAS09022-3615   CO5-4     7.98e+02 6.33e+02 9.49e+02          
IRAS09022-3615   CO6-5     6.90e+02 6.41e+02 7.56e+02          
IRAS09022-3615   CO7-6     5.41e+02 5.07e+02 5.67e+02          
IRAS09022-3615   CO8-7     3.40e+02 3.10e+02 3.69e+02          
IRAS09022-3615   CO9-8     4.02e+02 3.41e+02 4.62e+02          
IRAS09022-3615   CO10-9    2.71e+02 2.41e+02 3.10e+02          
IRAS09022-3615   CO11-10   2.30e+02 1.92e+02 2.67e+02          
IRAS09022-3615   CO12-11   1.63e+02 1.30e+02 1.96e+02          
IRAS09022-3615   CO13-12   1.12e+02 8.35e+01 1.46e+02          
IRAS09022-3615   NII     X 6.11e+02 5.63e+02 6.58e+02          
NGC2764          CI1-0     4.19e+02 1.75e+02 6.38e+02 9.85e+02 
NGC2764          CI2-1     2.33e+02 1.89e+02 2.75e+02          
NGC2764          CO4-3     1.49e+03 1.17e+03 1.77e+03          
NGC2764          CO5-4     5.27e+02 3.41e+02 6.87e+02 8.86e+02 
NGC2764          CO6-5     1.77e+02 1.17e+02 2.50e+02          
NGC2764          CO7-6     1.38e+02 9.23e+01 1.82e+02          
NGC2764          CO8-7     8.83e+01 3.73e+01 1.30e+02 1.86e+02 
NGC2764          CO9-8     7.38e+01 1.86e+01 1.49e+02 2.58e+02 
NGC2764          CO10-9    6.89e+01 2.10e+01 1.27e+02 2.00e+02 
NGC2764          CO11-10   8.48e+01 3.18e+01 1.54e+02 2.65e+02 
NGC2764          CO13-12   5.44e+01 1.28e+01 1.09e+02 1.70e+02 
NGC2764          NII       1.38e+03 1.32e+03 1.44e+03          
NGC2798          CI1-0     8.52e+02 6.79e+02 1.08e+03          
NGC2798          CI2-1     8.22e+02 7.45e+02 8.76e+02          
NGC2798          CO4-3     1.72e+03 1.50e+03 2.02e+03          
NGC2798          CO5-4     1.49e+03 1.37e+03 1.64e+03          
NGC2798          CO6-5     1.45e+03 1.38e+03 1.52e+03          
NGC2798          CO7-6     1.06e+03 9.90e+02 1.11e+03          
NGC2798          CO8-7     6.74e+02 5.83e+02 7.54e+02          
NGC2798          CO9-8     5.82e+02 4.71e+02 6.75e+02          
NGC2798          CO10-9    5.20e+02 4.18e+02 6.17e+02          
NGC2798          CO11-10   3.83e+02 3.11e+02 4.77e+02          
NGC2798          CO12-11   1.49e+02 7.89e+01 2.21e+02 3.20e+02 
NGC2798          CO13-12   4.46e+02 3.00e+02 5.73e+02          
NGC2798          NII     X 3.73e+03 3.58e+03 3.88e+03          
UGC05101         CI1-0     3.84e+02 1.55e+02 6.46e+02 1.04e+03 
UGC05101         CI2-1     5.08e+02 4.48e+02 5.70e+02          
UGC05101         CO5-4     5.63e+02 3.71e+02 7.26e+02          
UGC05101         CO6-5     5.88e+02 4.89e+02 6.82e+02          
UGC05101         CO7-6     3.69e+02 3.12e+02 4.39e+02          
UGC05101         CO8-7     3.60e+02 2.99e+02 4.25e+02          
UGC05101         CO9-8     2.37e+02 1.43e+02 3.36e+02          
UGC05101         CO10-9    3.09e+02 2.40e+02 3.74e+02          
UGC05101         CO11-10   1.70e+02 9.69e+01 2.37e+02          
UGC05101         CO12-11   6.49e+01 1.73e+01 1.20e+02 2.03e+02 
UGC05101         CO13-12   8.83e+01 2.83e+01 1.57e+02 2.22e+02 
UGC05101         NII     X 1.24e+03 1.15e+03 1.33e+03          
NGC2976_00       CI1-0     1.43e+02 5.29e+01 2.61e+02 3.99e+02 
NGC2976_00       CI2-1     6.17e+01 1.90e+01 1.10e+02 1.98e+02 
NGC2976_00       CO4-3     2.54e+02 5.16e+01 3.85e+02 6.44e+02 
NGC2976_00       CO5-4     1.60e+02 3.80e+01 3.09e+02 4.38e+02 
NGC2976_00       CO6-5     8.03e+01 2.83e+01 1.57e+02 2.32e+02 
NGC2976_00       CO7-6     1.16e+02 6.70e+01 1.64e+02 2.18e+02 
NGC2976_00       CO9-8     1.56e+02 3.93e+01 3.08e+02 4.92e+02 
NGC2976_00       CO10-9    9.77e+01 1.91e+01 2.18e+02 4.02e+02 
NGC2976_00       CO11-10   6.40e+01 7.25e+00 1.66e+02 3.88e+02 
NGC2976_00       CO12-11   1.24e+02 3.91e+01 1.95e+02 3.61e+02 
NGC2976_00       NII       2.48e+03 2.36e+03 2.61e+03          
M81              CI1-0     1.01e+03 5.86e+02 1.37e+03          
M81              CI2-1     3.07e+02 2.39e+02 3.70e+02          
M81              CO4-3     7.49e+02 3.41e+02 1.18e+03 2.01e+03 
M81              CO5-4     2.45e+02 4.93e+01 4.43e+02 9.76e+02 
M81              CO6-5     1.97e+02 7.38e+01 3.19e+02 4.88e+02 
M81              CO7-6     4.43e+01 1.16e+01 1.16e+02 1.78e+02 
M81              CO8-7     1.06e+02 4.22e+01 1.81e+02 2.38e+02 
M81              CO9-8     1.50e+02 3.28e+01 2.83e+02 4.27e+02 
M81              CO10-9    9.47e+01 1.62e+01 1.59e+02 3.90e+02 
M81              CO12-11   1.05e+02 2.95e+01 2.20e+02 4.16e+02 
M81              CO13-12   1.85e+02 4.33e+01 3.09e+02 5.27e+02 
M81              NII       2.44e+03 2.34e+03 2.56e+03          
M82              CI1-0     1.67e+04 1.58e+04 1.74e+04          
M82              CI2-1     3.32e+04 3.24e+04 3.38e+04          
M82              CO4-3     5.52e+04 5.41e+04 5.63e+04          
M82              CO5-4     6.30e+04 6.22e+04 6.39e+04          
M82              CO6-5     6.28e+04 6.22e+04 6.31e+04          
M82              CO7-6     5.68e+04 5.60e+04 5.75e+04          
M82              CO8-7     5.13e+04 4.99e+04 5.26e+04          
M82              CO9-8     4.03e+04 3.88e+04 4.14e+04          
M82              CO10-9    2.95e+04 2.86e+04 3.04e+04          
M82              CO11-10   1.95e+04 1.86e+04 2.05e+04          
M82              CO12-11   1.40e+04 1.32e+04 1.49e+04          
M82              CO13-12   8.59e+03 6.31e+03 1.11e+04          
M82              NII       8.98e+04 8.81e+04 9.18e+04          
NGC3077          CI2-1     4.90e+01 1.41e+01 9.55e+01 1.53e+02 
NGC3077          CO4-3     2.19e+02 7.06e+01 3.10e+02 4.75e+02 
NGC3077          CO5-4     1.37e+02 4.98e+01 2.56e+02 3.98e+02 
NGC3077          CO6-5     7.55e+01 2.36e+01 1.35e+02 2.03e+02 
NGC3077          CO7-6     9.20e+01 4.76e+01 1.29e+02 1.93e+02 
NGC3077          CO9-8     3.71e+01 3.45e+00 1.05e+02 2.27e+02 
NGC3077          CO11-10   9.85e+01 2.85e+01 2.08e+02 3.49e+02 
NGC3077          CO12-11   7.71e+01 1.80e+01 1.58e+02 2.68e+02 
NGC3077          CO13-12   1.54e+02 5.95e+01 2.58e+02 4.62e+02 
NGC3077          NII       3.75e+03 3.64e+03 3.86e+03          
NGC3110a         CI1-0     9.93e+02 4.80e+02 1.38e+03 2.06e+03 
NGC3110a         CI2-1     7.30e+02 6.14e+02 8.26e+02          
NGC3110a         CO5-4     4.93e+02 1.77e+02 8.61e+02 1.65e+03 
NGC3110a         CO6-5     5.88e+02 3.18e+02 7.84e+02          
NGC3110a         CO7-6     3.95e+02 2.68e+02 4.97e+02          
NGC3110a         CO8-7     1.82e+02 5.59e+01 3.37e+02 5.69e+02 
NGC3110a         CO9-8     3.70e+02 1.70e+02 5.71e+02 8.32e+02 
NGC3110a         CO10-9    2.27e+02 8.07e+01 3.68e+02 5.43e+02 
NGC3110a         CO12-11   1.43e+02 3.91e+01 2.71e+02 4.63e+02 
NGC3110a         NII       3.11e+03 2.97e+03 3.25e+03          
3C 236           CO5-4     1.66e+02 4.66e+01 2.93e+02 4.93e+02 
3C 236           CO6-5     6.55e+01 2.41e+01 1.08e+02 1.75e+02 
3C 236           CO8-7     5.94e+01 2.02e+01 9.93e+01 1.64e+02 
3C 236           CO11-10   2.04e+01 2.92e+00 4.74e+01 8.92e+01 
3C 236           CO12-11   3.47e+01 1.01e+01 7.19e+01 1.18e+02 
3C 236           NII       2.81e+01 1.05e+01 6.69e+01 1.17e+02 
NGC3221          CI1-0     3.52e+02 1.02e+02 7.89e+02 1.02e+03 
NGC3221          CI2-1     3.73e+02 2.16e+02 4.86e+02          
NGC3221          CO4-3     7.13e+02 2.64e+02 1.10e+03 1.62e+03 
NGC3221          CO5-4     5.79e+02 2.69e+02 9.07e+02 1.37e+03 
NGC3221          CO6-5     2.84e+02 1.11e+02 4.55e+02 7.47e+02 
NGC3221          CO8-7     1.16e+02 2.04e+01 2.83e+02 5.65e+02 
NGC3221          CO9-8     4.35e+02 1.17e+02 7.27e+02 1.19e+03 
NGC3221          CO10-9    3.80e+02 1.22e+02 6.91e+02 1.00e+03 
NGC3221          CO12-11   2.39e+02 5.62e+01 4.15e+02 6.89e+02 
NGC3221          NII       3.45e+03 3.11e+03 3.73e+03          
NGC3227          CI1-0     1.13e+03 8.58e+02 1.42e+03          
NGC3227          CI2-1     1.78e+03 1.70e+03 1.84e+03          
NGC3227          CO4-3     1.66e+03 1.38e+03 1.98e+03          
NGC3227          CO5-4     1.55e+03 1.35e+03 1.77e+03          
NGC3227          CO6-5     1.18e+03 1.07e+03 1.27e+03          
NGC3227          CO7-6     7.40e+02 6.69e+02 8.05e+02          
NGC3227          CO8-7     6.98e+02 6.12e+02 7.88e+02          
NGC3227          CO9-8     4.45e+02 3.13e+02 5.76e+02          
NGC3227          CO10-9    3.34e+02 1.99e+02 4.31e+02          
NGC3227          CO11-10   4.03e+02 2.69e+02 5.14e+02          
NGC3227          CO12-11   3.06e+02 2.18e+02 3.98e+02          
NGC3227          CO13-12   1.05e+02 2.82e+01 1.93e+02 3.51e+02 
NGC3227          NII     X 2.05e+03 1.89e+03 2.21e+03          
NGC3256          CI1-0     3.33e+03 3.12e+03 3.56e+03          
NGC3256          CI2-1     4.79e+03 4.69e+03 4.88e+03          
NGC3256          CO4-3     8.45e+03 8.23e+03 8.76e+03          
NGC3256          CO5-4     8.27e+03 8.11e+03 8.44e+03          
NGC3256          CO6-5     8.25e+03 8.17e+03 8.35e+03          
NGC3256          CO7-6     5.72e+03 5.63e+03 5.79e+03          
NGC3256          CO8-7     4.39e+03 4.24e+03 4.53e+03          
NGC3256          CO9-8     3.06e+03 2.91e+03 3.18e+03          
NGC3256          CO10-9    2.15e+03 2.01e+03 2.27e+03          
NGC3256          CO11-10   1.35e+03 1.24e+03 1.44e+03          
NGC3256          CO12-11   9.19e+02 8.18e+02 1.01e+03          
NGC3256          CO13-12   5.20e+02 2.94e+02 7.24e+02          
NGC3256          NII       9.29e+03 9.09e+03 9.51e+03          
IRAS 10378+1109  CI2-1     6.23e+01 2.36e+01 1.01e+02 1.62e+02 
IRAS 10378+1109  CO5-4     1.05e+02 3.84e+01 2.08e+02 3.85e+02 
IRAS 10378+1109  CO6-5     1.67e+02 7.28e+01 2.35e+02 3.46e+02 
IRAS 10378+1109  CO7-6     2.16e+02 1.80e+02 2.50e+02          
IRAS 10378+1109  CO8-7     1.46e+02 1.11e+02 1.78e+02          
IRAS 10378+1109  CO10-9    9.22e+01 5.49e+01 1.38e+02 2.05e+02 
IRAS 10378+1109  CO11-10   3.15e+01 8.51e+00 5.64e+01 1.06e+02 
IRAS 10378+1109  CO12-11   2.06e+01 3.67e+00 4.45e+01 8.18e+01 
IRAS 10378+1109  CO13-12   7.13e+01 4.76e+01 1.01e+02 1.52e+02 
IRAS 10378+1109  NII       7.00e+01 4.42e+01 1.05e+02 1.53e+02 
ESO264-G036      CI1-0     4.65e+02 1.86e+02 6.80e+02 9.69e+02 
ESO264-G036      CI2-1     4.94e+02 4.44e+02 5.42e+02          
ESO264-G036      CO5-4     6.15e+02 4.70e+02 7.45e+02          
ESO264-G036      CO6-5     5.75e+02 4.87e+02 6.56e+02          
ESO264-G036      CO7-6     3.12e+02 2.61e+02 3.63e+02          
ESO264-G036      CO8-7     3.14e+02 2.19e+02 3.93e+02          
ESO264-G036      CO9-8     1.00e+02 2.88e+01 2.03e+02 3.64e+02 
