NGC0695         , CO10-9 ,  ,40.2,6.11,92.1,147
NGC0695         , CO11-10,  ,37.4,5.97,89.8,150
NGC0695         , CO13-12,  ,53.7,14.1,104,169
NGC0695         , NII    ,  ,2380,2310,2450,          
Mrk 1014        , CI2-1  ,  ,96.4,49,146,235
Mrk 1014        , CO5-4  ,  ,319,150,469,629
Mrk 1014        , CO6-5  ,  ,143,44.9,248,350
Mrk 1014        , CO7-6  ,  ,81,37.4,135,235
Mrk 1014        , CO10-9 ,  ,35.2,7.71,64.9,102
Mrk 1014        , CO11-10,  ,24,7.49,56.5,86.6
Mrk 1014        , CO13-12,  ,36.7,12.6,67.2,117
Mrk 1014        , NII    ,  ,95.2,62.7,123,          
NGC0828         , CI1-0  ,  ,697,440,1010,1530
NGC0828         , CI2-1  ,  ,621,543,701,          
NGC0828         , CO4-3  ,  ,928,596,1260,1870
NGC0828         , CO5-4  ,  ,757,533,1010,          
NGC0828         , CO6-5  ,  ,818,684,944,          
NGC0828         , CO7-6  ,  ,157,73.7,236,351
NGC0828         , CO8-7  ,  ,172,62.1,298,533
NGC0828         , CO10-9 ,  ,185,65.4,298,498
NGC0828         , CO11-10,  ,97,28.6,195,362
NGC0828         , CO12-11,  ,118,36.7,203,376
NGC0828         , NII    , X,7210,7050,7370,          
NGC0877a        , CI1-0  ,  ,359,163,583,856
NGC0877a        , CI2-1  ,  ,389,298,477,          
NGC0877a        , CO4-3  ,  ,366,163,630,894
NGC0877a        , CO5-4  ,  ,291,119,465,808
NGC0877a        , CO6-5  ,  ,243,145,342,          
NGC0877a        , CO7-6  ,  ,215,131,311,          
NGC0877a        , CO8-7  ,  ,134,39.4,228,397
NGC0877a        , CO9-8  ,  ,653,327,957,          
NGC0877a        , CO10-9 ,  ,151,24.3,403,651
NGC0877a        , CO11-10,  ,455,231,689,1130
NGC0877a        , CO13-12,  ,535,223,804,1180
NGC0877a        , NII    ,  ,4490,4240,4680,          
NGC891-1        , CI1-0  ,  ,2190,1860,2540,          
NGC891-1        , CI2-1  ,  ,1830,1680,1970,          
NGC891-1        , CO4-3  ,  ,2250,1870,2610,          
NGC891-1        , CO5-4  ,  ,1960,1630,2290,          
NGC891-1        , CO6-5  ,  ,1260,1120,1420,          
NGC891-1        , CO7-6  ,  ,778,636,915,          
NGC891-1        , CO8-7  ,  ,475,233,739,963
NGC891-1        , CO9-8  ,  ,192,30.4,415,818
NGC891-1        , CO10-9 ,  ,431,192,707,1510
NGC891-1        , CO11-10,  ,324,74,592,968
NGC891-1        , CO12-11,  ,137,16.5,309,565
NGC891-1        , NII    ,  ,16100,15700,16500,          
UGC01845        , CI1-0  ,  ,196,38.1,364,642
UGC01845        , CI2-1  ,  ,392,317,449,          
UGC01845        , CO4-3  ,  ,128,13.5,345,822
UGC01845        , CO5-4  ,  ,648,508,804,          
UGC01845        , CO6-5  ,  ,460,387,542,          
UGC01845        , CO7-6  ,  ,369,299,434,          
UGC01845        , CO8-7  ,  ,235,136,328,461
UGC01845        , CO9-8  ,  ,146,49.3,275,484
UGC01845        , CO10-9 ,  ,178,58.8,281,411
UGC01845        , CO12-11,  ,108,34.5,198,336
UGC01845        , CO13-12,  ,77.4,20.8,142,266
UGC01845        , NII    , X,2780,2640,2920,          
NGC0958         , CI1-0  ,  ,195,71.8,354,519
NGC0958         , CI2-1  ,  ,132,71,195,          
NGC0958         , CO5-4  ,  ,40.8,1.94,117,267
NGC0958         , CO6-5  ,  ,167,67.9,249,389
NGC0958         , CO7-6  ,  ,81.5,28.2,143,225
NGC0958         , CO9-8  ,  ,457,255,634,          
NGC0958         , CO10-9 ,  ,139,37.1,285,451
NGC0958         , CO12-11,  ,111,21.7,257,528
NGC0958         , CO13-12,  ,164,44.4,343,533
NGC0958         , NII    , X,3570,3320,3820,          
0235+164        , CO8-7  ,  ,30.5,4.39,79.2,134
NGC1068         , CI1-0  ,  ,8550,8130,8940,          
NGC1068         , CI2-1  ,  ,11000,10700,11200,          
NGC1068         , CO4-3  ,  ,13600,13000,14200,          
NGC1068         , CO5-4  ,  ,12100,11800,12500,          
NGC1068         , CO6-5  ,  ,10800,10600,10900,          
NGC1068         , CO7-6  ,  ,7530,7300,7750,          
NGC1068         , CO8-7  ,  ,6370,5840,6840,          
NGC1068         , CO9-8  ,  ,7650,6990,8160,          
NGC1068         , CO10-9 ,  ,6970,6490,7400,          
NGC1068         , CO11-10,  ,6020,5550,6460,          
NGC1068         , CO12-11,  ,5280,4880,5680,          
NGC1068         , CO13-12,  ,2720,1980,3540,          
NGC1068         , NII    , X,38300,36900,39800,          
NGC1056         , CI1-0  ,  ,77.2,23,143,262
NGC1056         , CI2-1  ,  ,235,182,288,          
NGC1056         , CO4-3  ,  ,65.4,15.8,118,206
NGC1056         , CO5-4  ,  ,112,40.9,191,256
NGC1056         , CO6-5  ,  ,168,115,220,          
NGC1056         , CO7-6  ,  ,168,121,223,          
NGC1056         , CO8-7  ,  ,101,37.7,175,306
