NGC2342a        ,   , 7 ,09, 18.05, +20, 38, 10.0, 10.8,   77,  5,  5, 1342228729, 1342230778  
NGC2369         ,   , 7 ,16, 37.60, -62, 20, 35.9, 10.8,   43, 10,  3, 1342231083, 1342229670  
NGC2388a        ,   , 7 ,28, 53.43, +33, 49, 08.4, 11.0,   62,  7,  6, 1342231071, 1342229477  
MCG+02-20-003   ,   , 7 ,35, 43.44, +11, 42, 34.8, 10.8,   72,  7,  6, 1342228728, 1342229463  
IRAS 07598+6508 , a , 8 ,04, 30.45, +64, 59, 52.2, 12.1,  693,  0, 10, 1342253659, 1342229642  
B2 0827+24      ,   , 8 ,30, 52.09, +24, 10, 59.8,     , 5818,  0,  1, 1342253660, 1342230773  
IRAS 08311-2459 , a , 8 ,33, 20.60, -25, 09, 33.7, 12.2,  451,  9,  1, 1342230421, 1342230796  
He2-10          ,   , 8 ,36, 15.18, -26, 24, 33.9,  9.6,   10,  9,  3, 1342245083, 1342196888  
IRAS08355-4944  ,   , 8 ,37, 01.86, -49, 54, 30.0,     ,  110,  7,  5, 1342231975, 1342226978  
NGC2623         ,   , 8 ,38, 24.08, +25, 45, 16.6, 11.4,   81, 12,  0, 1342219553, 1342206174  
IRAS 08572+3915 ,   , 9 ,00, 25.39, +39, 03, 54.4, 11.8,  261,  2,  8, 1342231978, 1342230749  
IRAS09022-3615  ,   , 9 ,04, 12.72, -36, 27, 01.3, 12.0,  262, 11,  1, 1342231063, 1342230799  
NGC2764         ,   , 9 ,08, 17.47, +21, 26, 36.0, 10.0,   40,  5,  7, 1342231057, 1342245567  
NGC2798         ,   , 9 ,17, 22.90, +41, 59, 59.0, 10.4,   28, 12,  1, 1342252892, 1342197287  
UGC05101        ,   , 9 ,35, 51.65, +61, 21, 11.3, 11.8,  176,  9,  3, 1342209278, 1342204962  
NGC2976_00      ,   , 9 ,47, 07.84, +67, 55, 52.3,     ,    4,  1, 10, 1342228706, 1342192106  
M81             ,   , 9 ,55, 33.17, +69, 03, 55.0,  9.2,    4,  3,  9, 1342209851, 1342185538  
M82             ,   , 9 ,55, 52.22, +69, 40, 46.9, 10.4,    4, 13,  0, 1342208389, 1342185537  
NGC3077         ,   ,10 ,03, 19.10, +68, 44, 02.0,  7.7,    1,  1,  9, 1342228745, 1342193015  
NGC3110a        ,   ,10 ,04, 02.09, -06, 28, 28.6, 11.0,   73,  4,  6, 1342231971, 1342234843  
3C 236          ,   ,10 ,06, 01.74, +34, 54, 10.4,     ,  451,  0,  6, 1342246988, 1342246613  
NGC3221         ,   ,10 ,22, 20.20, +21, 34, 22.4, 10.7,   61,  2,  8, 1342221714, 1342246610  
